LAST SEEN   TYPE      REASON                         OBJECT                                                   MESSAGE
59m         Warning   Unhealthy                      pod/api-gateway-6b89d8fb99-qnwsb                         Readiness probe failed: Get "http://10.42.0.113:8080/actuator/health": dial tcp 10.42.0.113:8080: connect: connection refused
59m         Warning   Unhealthy                      pod/api-gateway-6b89d8fb99-jbljp                         Readiness probe failed: Get "http://10.42.0.107:8080/actuator/health": dial tcp 10.42.0.107:8080: connect: connection refused
57m         Normal    SuccessfulDelete               replicaset/api-gateway-6b89d8fb99                        Deleted pod: api-gateway-6b89d8fb99-6nhwn
57m         Normal    Killing                        pod/api-gateway-6b89d8fb99-6nhwn                         Stopping container api-gateway
57m         Warning   Unhealthy                      pod/api-gateway-6b89d8fb99-6nhwn                         Readiness probe failed: Get "http://10.42.0.108:8080/actuator/health": dial tcp 10.42.0.108:8080: connect: connection refused
52m         Normal    ScalingReplicaSet              deployment/api-gateway                                   Scaled up replica set api-gateway-6b89d8fb99 from 1 to 2
52m         Normal    Started                        pod/api-gateway-6b89d8fb99-dm4r5                         Container started
52m         Normal    Created                        pod/api-gateway-6b89d8fb99-dm4r5                         Container created
52m         Normal    SuccessfulCreate               replicaset/api-gateway-6b89d8fb99                        Created pod: api-gateway-6b89d8fb99-dm4r5
52m         Normal    Pulled                         pod/api-gateway-6b89d8fb99-dm4r5                         Container image "ghcr.io/puaa-team/aituan/api-gateway:sha-984e97e3afa45a17783643cf9ba2a3fa4442c1f6" already present on machine and can be accessed by the pod
52m         Warning   Unhealthy                      pod/api-gateway-6b89d8fb99-dm4r5                         Startup probe failed: Get "http://10.42.0.114:8080/actuator/health": dial tcp 10.42.0.114:8080: connect: connection refused
50m         Normal    SuccessfulDelete               replicaset/api-gateway-6b89d8fb99                        Deleted pod: api-gateway-6b89d8fb99-dm4r5
50m         Normal    Killing                        pod/api-gateway-6b89d8fb99-dm4r5                         Stopping container api-gateway
50m         Normal    ScalingReplicaSet              deployment/api-gateway                                   Scaled down replica set api-gateway-6b89d8fb99 from 2 to 1
50m         Warning   Unhealthy                      pod/api-gateway-6b89d8fb99-dm4r5                         Readiness probe failed: Get "http://10.42.0.114:8080/actuator/health": dial tcp 10.42.0.114:8080: connect: connection refused
48m         Normal    ScalingReplicaSet              deployment/aituan-web                                    Scaled up replica set aituan-web-dd89ff558 from 0 to 1
48m         Normal    SuccessfulCreate               replicaset/api-gateway-6487dd55d9                        Created pod: api-gateway-6487dd55d9-rqth9
48m         Normal    ScalingReplicaSet              deployment/api-gateway                                   Scaled up replica set api-gateway-6487dd55d9 from 0 to 1
48m         Normal    Pulling                        pod/aituan-web-dd89ff558-h6vkz                           Pulling image "ghcr.io/puaa-team/aituan/web:sha-c55161efcc4719d97a8f0e59a054c6abbfbcb75f"
48m         Normal    SuccessfulCreate               replicaset/aituan-web-dd89ff558                          Created pod: aituan-web-dd89ff558-h6vkz
48m         Normal    SuccessfulCreate               replicaset/engagement-platform-service-b6f9bd8c9         Created pod: engagement-platform-service-b6f9bd8c9-mmpz7
48m         Normal    ScalingReplicaSet              deployment/engagement-platform-service                   Scaled up replica set engagement-platform-service-b6f9bd8c9 from 0 to 1
